[2016/2/2 - 19:59:30] << Avengers Smith da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: Giet >>
[2016/2/2 - 20:04:56] << Avengers Smith da dat mot hop dong Boy Hardy gia $50000 , Chi tiet: Lai Cai Lo tay. >>
[2016/2/3 - 9:21:53] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: Get >>
[2016/2/3 - 9:27:40] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: Sao Loz >>
[2016/2/3 - 9:33:25] << Harry Jinr da dat mot hop dong Nguyen Ngoc Tram gia $50000 , Chi tiet: thich >>
[2016/2/3 - 9:42:57] << Harry Jinr da dat mot hop dong Thien Nha gia $200000 , Chi tiet: thich >>
[2016/2/3 - 9:43:03] << Boy Hardy da dat mot hop dong Thien Nha gia $50000 , Chi tiet: Get >>
[2016/2/3 - 9:49:36] << Boy Hardy da dat mot hop dong Hai Saker gia $50000 , Chi tiet: Get >>
[2016/2/3 - 9:53:12] << Harry Jinr da dat mot hop dong Bet Stom gia $50000 , Chi tiet: thich >>
[2016/2/3 - 9:56:36] << Harry Jinr da dat mot hop dong Bet Stom gia $50000 , Chi tiet: thich >>
[2016/2/3 - 9:59:52] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: get >>
[2016/2/3 - 10:03:59] << Harry Jinr da dat mot hop dong Boy Hardy gia $100000 , Chi tiet: thich >>
[2016/2/3 - 10:04:11] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: get >>
[2016/2/3 - 10:09:42] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: Get >>
[2016/2/3 - 10:13:16] << Harry Jinr da dat mot hop dong Boy Hardy gia $100000 , Chi tiet: thich >>
[2016/2/3 - 10:14:21] << Boy Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: Tra Thu >>
[2016/2/3 - 10:23:02] << Boy Hardy da dat mot hop dong Uzimaki Naruto gia $50000 , Chi tiet: get >>
[2016/2/3 - 15:48:16] << Boy Hardy da dat mot hop dong SG Hades gia $100000 , Chi tiet: 100000 >>
[2016/2/3 - 15:48:30] << Boy Hardy da dat mot hop dong Brian A Sun gia $100000 , Chi tiet: 100000 >>
[2016/2/3 - 15:56:42] << Boy Hardy da dat mot hop dong khanh nhoz gia $100000 , Chi tiet: Get >>
[2016/2/3 - 16:01:27] << Boy Hardy da dat mot hop dong Mia khung gia $100000 , Chi tiet: Get >>
[2016/2/3 - 16:04:16] << Boy Hardy da dat mot hop dong Mia khung gia $100000 , Chi tiet: 1 >>
[2016/2/3 - 16:05:55] << Boy Hardy da dat mot hop dong Huys Doremon gia $100000 , Chi tiet: 1 >>
[2016/2/3 - 16:15:03] << Boy Hardy da dat mot hop dong Uzimaki Naruto gia $100000 , Chi tiet: 1 >>
[2016/2/3 - 17:26:42] << Uzimaki Naruto da dat mot hop dong Bee Lee gia $50000 , Chi tiet: Giet >>
[2016/2/3 - 17:33:01] << Bin Hardy da dat mot hop dong Natt Hardy gia $50000 , Chi tiet: thich >>
[2016/2/3 - 17:49:04] << David Vila da dat mot hop dong Bet Stom gia $200000 , Chi tiet: Giet cho tao >>
[2016/2/3 - 19:04:41] << Smith Robeo da dat mot hop dong Bet Stom gia $100000 , Chi tiet: GIET >>
[2016/2/4 - 8:36:17] << Harry Jinr da dat mot hop dong Bin Hardy gia $50000 , Chi tiet: thich >>
[2016/2/4 - 8:39:15] << Harry Jinr da dat mot hop dong Bin Hardy gia $50000 , Chi tiet: thich >>
[2016/2/4 - 8:42:28] << Harry Jinr da dat mot hop dong Avengers Nghia gia $50000 , Chi tiet: thich >>
[2016/2/4 - 8:42:33] << Harry Jinr da dat mot hop dong HaI CaU gia $50000 , Chi tiet: thich >>
[2016/2/4 - 8:45:33] << Nguyen Bon da dat mot hop dong HaI CaU gia $50000 , Chi tiet: minh muon hop dong >>
[2016/2/4 - 9:34:48] << Harry Jinr da dat mot hop dong David Xuyen gia $50000 , Chi tiet: thich >>
[2016/2/4 - 9:35:08] << Harry Jinr da dat mot hop dong Natt Hardy gia $50000 , Chi tiet: thich >>
[2016/2/4 - 9:35:17] << Harry Jinr da dat mot hop dong Chaly Do gia $50000 , Chi tiet: thich >>
[2016/2/4 - 9:35:59] << Harry Jinr da dat mot hop dong Jons Giang gia $500000 , Chi tiet: tk lol >>
[2016/2/4 - 9:46:52] << Natt Hardy da dat mot hop dong Troller Florencia gia $1000000 , Chi tiet: Giet no >>
[2016/2/4 - 9:50:34] << Natt Hardy da dat mot hop dong David Xuyen gia $1000000 , Chi tiet: Giet no >>
[2016/2/4 - 9:55:25] << Natt Hardy da dat mot hop dong Bro Gold gia $1000000 , Chi tiet: Giet no >>
[2016/2/4 - 10:03:06] << Naruto.Yeu Hinata da dat mot hop dong David Xuyen gia $50000 , Chi tiet: Giet >>
[2016/2/4 - 10:03:08] << Natt Hardy da dat mot hop dong Troller Florencia gia $1000000 , Chi tiet: Giet no >>
[2016/2/4 - 10:07:35] << Natt Hardy da dat mot hop dong David Xuyen gia $500000 , Chi tiet: Giet >>
[2016/2/4 - 10:07:52] << Natt Hardy da dat mot hop dong Bin Hardy gia $500000 , Chi tiet: Giet >>
[2016/2/4 - 10:08:05] << Natt Hardy da dat mot hop dong Bro Gold gia $1000000 , Chi tiet: Giet chet cha no >>
[2016/2/4 - 10:19:04] << Bin Hardy da dat mot hop dong SG Hades gia $50000 , Chi tiet: lam dung  >>
[2016/2/4 - 10:35:07] << Bin Hardy da dat mot hop dong Harry Jinr gia $50000 , Chi tiet: thich >>
[2016/2/4 - 10:43:13] << Harry Jinr da dat mot hop dong Bro Gold gia $100000 , Chi tiet: cut >>
[2016/2/4 - 10:43:54] << Harry Jinr da dat mot hop dong Mafia Winter gia $1000000 , Chi tiet: cut >>
[2016/2/4 - 10:44:08] << Harry Jinr da dat mot hop dong Winx Hoang gia $500000 , Chi tiet: cut >>
[2016/2/4 - 10:44:35] << Harry Jinr da dat mot hop dong Dream Do gia $500000 , Chi tiet: cut >>
[2016/2/5 - 8:24:46] << Duong Tang da dat mot hop dong Nguyen Ngoc Tram gia $100000 , Chi tiet: kill >>
[2016/2/5 - 14:16:23] << XiPo Do da dat mot hop dong Bin Hardy gia $150000 , Chi tiet: Kos tui >>
[2016/2/5 - 14:18:21] << XiPo Do da dat mot hop dong Boy Hardy gia $150000 , Chi tiet: Kos tui >>
[2016/2/5 - 16:40:09] << Fate Jonhson da dat mot hop dong Ivan Hardwell gia $50000 , Chi tiet: Lao >>
[2016/2/5 - 16:41:59] << Bet Stom da dat mot hop dong Ivan Hardwell gia $50000 , Chi tiet: Hiep dam bo tao >>
[2016/2/5 - 17:32:02] << XiPo Do da dat mot hop dong Bee gia $100000 , Chi tiet: gion >>
[2016/2/5 - 19:25:26] << xBoss Toganx da dat mot hop dong William Steven gia $1000000 , Chi tiet: . >>
[2016/2/5 - 20:52:16] << William Steven da dat mot hop dong Smith Robeo gia $1000000 , Chi tiet: giet >>
