[2016/2/2 - 14:22:17] * Ong Gia da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/2/2 - 14:22:19] * Ong Gia da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/2/2 - 14:22:20] * Ong Gia da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/2/2 - 14:22:22] * Ong Gia da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:23:14] * Ong Gia da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/2/2 - 14:23:26] * Ong Gia da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/2/2 - 14:23:30] * Ong Gia da nhan duoc $100,000, chuc vui ve!
[2016/2/2 - 14:23:33] * Ong Gia da nhan duoc $100,000, chuc vui ve!
[2016/2/2 - 14:23:35] * Ong Gia da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/2/2 - 14:23:37] * Ong Gia da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/2/2 - 14:23:40] * Ong Gia da nhan duoc mot Laser, chuc vui ve!
[2016/2/2 - 14:23:41] * Ong Gia da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/2/2 - 14:23:43] * Ong Gia da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/2/2 - 14:23:45] * Ong Gia da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/2/2 - 14:23:57] * Ong Gia da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:24:53] * Ong Gia da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:24:58] * Ong Gia da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:25:03] * New Kingz da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/2/2 - 14:25:24] * Ong Gia da nhan duoc $100,000, chuc vui ve!
[2016/2/2 - 14:25:26] * Ong Gia da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/2/2 - 14:25:49] * Ong Gia da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:15] * Ong Gia da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:17] * Ong Gia da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:26] * New Kingz da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:31] * New Kingz da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:34] * New Kingz da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:36] * Old Wilward da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:37] * New Kingz da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:26:40] * New Kingz da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:02] * Japan Stephen da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/2/2 - 14:27:08] * Old Wilward da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:10] * Old Wilward da nhan duoc mot Laser, chuc vui ve!
[2016/2/2 - 14:27:12] * Old Wilward da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:15] * Old Wilward da nhan duoc mot Custom Toy, chuc vui ve!
[2016/2/2 - 14:27:18] * Ong Gia da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:21] * Ong Gia da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:22] * Old Wilward da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/2/2 - 14:27:23] * Ong Gia da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/2/2 - 14:27:23] * Old Wilward da nhan duoc 1000 Credit(s), chuc vui ve!
