[2015/11/28 - 15:50:41] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 15:51:47] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 15:52:46] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 16:34:18] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 16:49:15] Hero_Keyboard (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 16:58:56] Hero_Keyboard (ID: 0 | SQL ID: 2 | Level: 3 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 17:00:54] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 17:19:59] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 17:29:40] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 17:37:55] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has been kicked/banned.
[2015/11/28 - 17:40:31] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 18:13:22] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 19:20:39] Thong_Vu (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 21:09:22] Tom (ID: 0 | SQL ID: 1 | Level: 3 | IP: 127.0.0.1) has disconnected.
[2015/11/28 - 21:10:30] Alex_Anonymous (ID: 0 | SQL ID: 3 | Level: 1 | IP: 127.0.0.1) has logged in.
[2015/11/28 - 21:11:41] Alex_Anonymous (ID: 0 | SQL ID: 3 | Level: 3 | IP: 127.0.0.1) has disconnected.
[2016/1/30 - 22:47:30] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 22:48:05] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has timed out.
[2016/1/30 - 22:50:04] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 22:50:27] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has timed out.
[2016/1/30 - 22:51:37] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 22:52:07] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has timed out.
[2016/1/30 - 22:54:50] Ong_Gia (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 23:23:03] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 1 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 23:24:02] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/30 - 23:25:11] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 23:34:34] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/30 - 23:56:08] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/31 - 0:07:00] Hoang_Tu (ID: 0 | SQL ID: 2 | Level: 1 | IP: 14.168.153.248) has logged in.
[2016/1/31 - 0:09:34] Hoang_Tu (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/31 - 0:10:42] Hoang_Tu (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/31 - 0:17:09] Hoang_Tu (ID: 0 | SQL ID: 2 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/31 - 0:22:30] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 1 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 0:23:53] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 0:40:31] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 0:40:57] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 0:43:48] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 0:45:00] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 0:46:18] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 0:51:46] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 0:54:05] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 0:59:33] Du_Hoa_Chibi (ID: 0 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 6:43:44] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/31 - 6:48:53] Nguyen_Ngoc_Tram (ID: 1 | SQL ID: 4 | Level: 1 | IP: 27.75.98.20) has logged in.
[2016/1/31 - 6:55:52] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/31 - 7:20:33] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has logged in.
[2016/1/31 - 7:22:46] Nguyen_Ngoc_Tram (ID: 1 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has logged in.
[2016/1/31 - 7:25:10] Nguyen_Ngoc_Tram (ID: 1 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has disconnected.
[2016/1/31 - 7:37:11] Leo_Fun (ID: 1 | SQL ID: 5 | Level: 1 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 7:38:44] Nguyen_Ngoc_Tram (ID: 2 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has logged in.
[2016/1/31 - 7:38:48] Jack_KullN (ID: 3 | SQL ID: 6 | Level: 1 | IP: 27.75.105.47) has logged in.
[2016/1/31 - 7:39:22] TamHoang_lam (ID: 4 | SQL ID: 7 | Level: 1 | IP: 112.197.32.86) has logged in.
[2016/1/31 - 7:41:37] TamHoang_Hai (ID: 5 | SQL ID: 8 | Level: 1 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 7:43:27] TamHoang_Hai (ID: 5 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has been kicked/banned.
[2016/1/31 - 7:45:25] TamHoang_Hai (ID: 5 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 7:49:10] Vinh_Thai (ID: 6 | SQL ID: 9 | Level: 1 | IP: 113.161.224.49) has logged in.
[2016/1/31 - 7:51:16] Hoang_Tu (ID: 7 | SQL ID: 2 | Level: 3 | IP: 113.183.5.142) has logged in.
[2016/1/31 - 7:53:48] An_Nguyen (ID: 8 | SQL ID: 10 | Level: 1 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 7:55:14] Nguyen_Ngoc_Tram (ID: 2 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has timed out.
[2016/1/31 - 7:56:15] Nguyen_Ngoc_Tram (ID: 2 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has logged in.
[2016/1/31 - 7:59:11] Nguyen_Huy (ID: 10 | SQL ID: 11 | Level: 1 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 7:59:12] Nguyen_Thien (ID: 9 | SQL ID: 12 | Level: 1 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:01:21] Nguyen_Thien (ID: 9 | SQL ID: 12 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:02:17] An_Nguyen (ID: 8 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has timed out.
[2016/1/31 - 8:02:45] Nguyen_Huy (ID: 10 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:03:40] An_Nguyen (ID: 8 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 8:03:53] Jack_KullN (ID: 3 | SQL ID: 6 | Level: 3 | IP: 27.75.105.47) has disconnected.
[2016/1/31 - 8:04:36] Jack_KullN (ID: 3 | SQL ID: 6 | Level: 3 | IP: 27.75.105.47) has logged in.
[2016/1/31 - 8:06:46] Jack_KullN (ID: 3 | SQL ID: 6 | Level: 3 | IP: 27.75.105.47) has disconnected.
[2016/1/31 - 8:06:58] Nguyen_Ngoc_Tram (ID: 2 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has disconnected.
[2016/1/31 - 8:07:29] TamHoang_Hai (ID: 5 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has disconnected.
[2016/1/31 - 8:07:36] Leo_Fun (ID: 1 | SQL ID: 5 | Level: 3 | IP: 1.53.232.176) has disconnected.
[2016/1/31 - 8:08:44] TamHoang_Hai (ID: 1 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 8:08:50] TamHoang_lam (ID: 4 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has been kicked/banned.
[2016/1/31 - 8:10:03] Minh_Alaxander (ID: 2 | SQL ID: 13 | Level: 1 | IP: 14.185.144.246) has logged in.
[2016/1/31 - 8:10:33] TamHoang_Hai (ID: 1 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has disconnected.
[2016/1/31 - 8:11:21] Ong_Gia (ID: 0 | SQL ID: 1 | Level: 3 | IP: 14.168.153.248) has disconnected.
[2016/1/31 - 8:11:50] TamHoang_Hai (ID: 1 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 8:12:31] TamHoang_Hai (ID: 1 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has disconnected.
[2016/1/31 - 8:12:45] Nguyen_Huy (ID: 4 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:12:52] Nguyen_Ngoc_Tram (ID: 0 | SQL ID: 4 | Level: 3 | IP: 27.75.98.20) has logged in.
[2016/1/31 - 8:12:55] James_Andreson (ID: 1 | SQL ID: 14 | Level: 1 | IP: 58.187.2.70) has logged in.
[2016/1/31 - 8:13:04] TamHoang_lam (ID: 3 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has logged in.
[2016/1/31 - 8:13:22] TamHoang_Hai (ID: 9 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 8:13:42] Endwars_Kingz (ID: 10 | SQL ID: 15 | Level: 1 | IP: 115.77.109.35) has logged in.
[2016/1/31 - 8:13:55] Exciter_Jakie (ID: 5 | SQL ID: 16 | Level: 1 | IP: 115.77.109.35) has logged in.
[2016/1/31 - 8:14:14] Dream_Black (ID: 11 | SQL ID: 17 | Level: 1 | IP: 14.169.25.3) has logged in.
[2016/1/31 - 8:15:02] Nguyen_Thanh_Dat (ID: 12 | SQL ID: 18 | Level: 1 | IP: 113.162.124.50) has logged in.
[2016/1/31 - 8:15:28] Nguyen_Thien (ID: 13 | SQL ID: 12 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:15:38] TamHoang_lam (ID: 3 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has disconnected.
[2016/1/31 - 8:15:52] TamHoang_Hai (ID: 9 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has disconnected.
[2016/1/31 - 8:16:20] TamHoang_lam (ID: 3 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has logged in.
[2016/1/31 - 8:16:28] Nguyen_Thien (ID: 13 | SQL ID: 12 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:18:10] TamHoang_Hai (ID: 9 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 8:18:18] Nguyen_Thanh_Dat (ID: 12 | SQL ID: 18 | Level: 3 | IP: 113.162.124.50) has disconnected.
[2016/1/31 - 8:18:25] Nguyen_Huy (ID: 4 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:18:32] TOny_Boy (ID: 12 | SQL ID: 19 | Level: 1 | IP: 14.183.251.20) has logged in.
[2016/1/31 - 8:18:40] Leo_Fun (ID: 13 | SQL ID: 5 | Level: 3 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 8:19:03] An_Nguyen (ID: 8 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has been kicked/banned.
[2016/1/31 - 8:19:11] Nguyen_Bon (ID: 4 | SQL ID: 20 | Level: 1 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:19:14] Dream_Black (ID: 11 | SQL ID: 17 | Level: 3 | IP: 14.169.25.3) has been kicked/banned.
[2016/1/31 - 8:20:02] TOny_Boy (ID: 12 | SQL ID: 19 | Level: 3 | IP: 14.183.251.20) has disconnected.
[2016/1/31 - 8:20:04] Nguyen_Huy (ID: 8 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:20:47] An_Nguyen (ID: 11 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 8:21:13] TamHoang_lam (ID: 3 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has disconnected.
[2016/1/31 - 8:21:20] TamHoang_Hai (ID: 9 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has disconnected.
[2016/1/31 - 8:21:25] Ly_Mac_Sau (ID: 12 | SQL ID: 21 | Level: 1 | IP: 115.79.40.252) has logged in.
[2016/1/31 - 8:21:29] Du_Hoa_Chibi (ID: 3 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 8:22:04] vu_tam (ID: 9 | SQL ID: 22 | Level: 1 | IP: 118.69.147.47) has logged in.
[2016/1/31 - 8:22:09] TamHoang_lam (ID: 15 | SQL ID: 7 | Level: 3 | IP: 112.197.32.86) has logged in.
[2016/1/31 - 8:22:10] TOny_Boy (ID: 16 | SQL ID: 19 | Level: 3 | IP: 14.183.251.20) has logged in.
[2016/1/31 - 8:22:29] Vinh_Thai (ID: 6 | SQL ID: 9 | Level: 3 | IP: 113.161.224.49) has disconnected.
[2016/1/31 - 8:22:42] Du_Hoa_Chibi (ID: 3 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 8:22:52] TamHoang_Hai (ID: 6 | SQL ID: 8 | Level: 3 | IP: 123.30.74.25) has logged in.
[2016/1/31 - 8:23:48] Du_Hoa_Chibi (ID: 3 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
[2016/1/31 - 8:23:53] Vinh_Thai (ID: 14 | SQL ID: 9 | Level: 3 | IP: 113.161.224.49) has logged in.
[2016/1/31 - 8:25:27] family_bao_khung (ID: 17 | SQL ID: 23 | Level: 1 | IP: 113.188.119.44) has logged in.
[2016/1/31 - 8:25:47] family_bao_khung (ID: 17 | SQL ID: 23 | Level: 1 | IP: 113.188.119.44) has disconnected.
[2016/1/31 - 8:25:57] Du_Hoa_Chibi (ID: 3 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 8:25:58] Nguyen_Huy (ID: 8 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:25:58] Vinh_Thai (ID: 14 | SQL ID: 9 | Level: 3 | IP: 113.161.224.49) has disconnected.
[2016/1/31 - 8:26:14] TOny_Boy (ID: 16 | SQL ID: 19 | Level: 3 | IP: 14.183.251.20) has disconnected.
[2016/1/31 - 8:26:23] Endwars_Kingz (ID: 10 | SQL ID: 15 | Level: 3 | IP: 115.77.109.35) has disconnected.
[2016/1/31 - 8:26:36] Vinh_Thai (ID: 3 | SQL ID: 9 | Level: 3 | IP: 113.161.224.49) has logged in.
[2016/1/31 - 8:26:45] Arteezy_Yaphets (ID: 8 | SQL ID: 24 | Level: 1 | IP: 113.173.75.201) has logged in.
[2016/1/31 - 8:26:52] Nguyen_Huy (ID: 10 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:27:00] Exciter_Jakie (ID: 5 | SQL ID: 16 | Level: 3 | IP: 115.77.109.35) has disconnected.
[2016/1/31 - 8:27:01] Kise_YaYoi (ID: 14 | SQL ID: 25 | Level: 1 | IP: 115.78.114.87) has logged in.
[2016/1/31 - 8:27:08] Leo_Fun (ID: 13 | SQL ID: 5 | Level: 3 | IP: 1.53.232.176) has disconnected.
[2016/1/31 - 8:27:58] Exciter_Jakie (ID: 5 | SQL ID: 16 | Level: 3 | IP: 115.77.109.35) has logged in.
[2016/1/31 - 8:28:28] Leo_Fun (ID: 13 | SQL ID: 5 | Level: 3 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 8:29:47] Kise_YaYoi (ID: 14 | SQL ID: 25 | Level: 3 | IP: 115.78.114.87) has timed out.
[2016/1/31 - 8:30:23] Kise_YaYoi (ID: 14 | SQL ID: 25 | Level: 3 | IP: 115.78.114.87) has logged in.
[2016/1/31 - 8:31:05] vu_tam (ID: 9 | SQL ID: 22 | Level: 3 | IP: 118.69.147.47) has disconnected.
[2016/1/31 - 8:31:28] Kise_YaYoi (ID: 14 | SQL ID: 25 | Level: 3 | IP: 115.78.114.87) has disconnected.
[2016/1/31 - 8:32:51] Long_Boos (ID: 9 | SQL ID: 26 | Level: 1 | IP: 118.69.147.47) has logged in.
[2016/1/31 - 8:32:52] pham_tam (ID: 14 | SQL ID: 27 | Level: 1 | IP: 118.69.147.47) has logged in.
[2016/1/31 - 8:34:39] Du_Hoa_Chibi (ID: 16 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has logged in.
